DATE,TIME,OPEN,HIGH,LOW,CLOSE,VOL
01/01/05,0000,1.3567000,1.3586000,1.2920000,1.3036000,0
02/01/05,0000,1.3030000,1.3285000,1.2729000,1.3243000,0
03/01/05,0000,1.3240000,1.3485000,1.2853000,1.2964000,0
04/01/05,0000,1.2959000,1.3131000,1.2765000,1.2939000,0
05/01/05,0000,1.2833000,1.2998000,1.2293000,1.2307000,0
06/01/05,0000,1.2304000,1.2360000,1.1980000,1.2104000,0
07/01/05,0000,1.2100000,1.2263000,1.1865000,1.2124000,0
08/01/05,0000,1.2121000,1.2492000,1.2114000,1.2339000,0
09/01/05,0000,1.2336000,1.2596000,1.1976000,1.2023000,0
10/01/05,0000,1.2019000,1.2212000,1.1873000,1.1989000,0
11/01/05,0000,1.1979000,1.2093000,1.1637000,1.1793000,0
12/01/05,0000,1.1788000,1.2065000,1.1659000,1.1850000,0
01/01/06,0000,1.1845000,1.2327000,1.1799000,1.2152000,0
02/01/06,0000,1.2150000,1.2170000,1.1830000,1.1923000,0
03/01/06,0000,1.1919000,1.2212000,1.1856000,1.2124000,0
04/01/06,0000,1.2121000,1.2644000,1.2028000,1.2636000,0
05/01/06,0000,1.2624000,1.2976000,1.2564000,1.2816000,0
06/01/06,0000,1.2813000,1.2984000,1.2473000,1.2794000,0
07/01/06,0000,1.2789000,1.2865000,1.2456000,1.2776000,0
08/01/06,0000,1.2773000,1.2944000,1.2694000,1.2815000,0
09/01/06,0000,1.2813000,1.2880000,1.2628000,1.2675000,0
10/01/06,0000,1.2739000,1.2787000,1.2480000,1.2767000,0
11/01/06,0000,1.2763000,1.3278000,1.2680000,1.3246000,0
12/01/06,0000,1.3244000,1.3371000,1.3050000,1.3199000,0
01/01/07,0000,1.3200000,1.3300000,1.2864000,1.3033000,0
02/01/07,0000,1.3034000,1.3264000,1.2909000,1.3237000,0
03/01/07,0000,1.3231000,1.3416000,1.3070000,1.3357000,0
04/01/07,0000,1.3374000,1.3686000,1.3316000,1.3655000,0
05/01/07,0000,1.3576000,1.3632000,1.3403000,1.3445000,0
06/01/07,0000,1.3492000,1.3559000,1.3260000,1.3543000,0
07/01/07,0000,1.3537000,1.3857000,1.3526000,1.3681000,0
08/01/07,0000,1.3679000,1.3845000,1.3358000,1.3625000,0
09/01/07,0000,1.3627000,1.4281000,1.3548000,1.4274000,0
10/01/07,0000,1.4281000,1.4505000,1.4010000,1.4485000,0
11/01/07,0000,1.4487000,1.4968000,1.4400000,1.4628000,0
12/01/07,0000,1.4627000,1.5157000,1.4307000,1.4594000,0
01/01/08,0000,1.4594000,1.4922000,1.4362000,1.4866000,0
02/01/08,0000,1.4865000,1.5239000,1.4438000,1.5180000,0
03/01/08,0000,1.5180000,1.5904000,1.5142000,1.5783000,0
04/01/08,0000,1.5783000,1.6019000,1.5508000,1.5614000,0
05/01/08,0000,1.5611000,1.5818000,1.5282000,1.5553000,0
06/01/08,0000,1.5553000,1.5844000,1.5301000,1.5742000,0
07/01/08,0000,1.5744000,1.6038000,1.5518000,1.5597000,0
08/01/08,0000,1.5599000,1.5631000,1.4566000,1.4684000,0
09/01/08,0000,1.4688000,1.4866000,1.3880000,1.4076000,0
10/01/08,0000,1.4074000,1.4174000,1.2327000,1.2723000,0
11/01/08,0000,1.2725000,1.3115000,1.2386000,1.2711000,0
12/01/08,0000,1.2709000,1.4719000,1.2547000,1.3968000,0
01/01/09,0000,1.3968000,1.4069000,1.2761000,1.2823000,116518
02/01/09,0000,1.2823000,1.3088000,1.2511000,1.2668000,0
03/01/09,0000,1.2668000,1.3739000,1.2454000,1.3284000,0
04/01/09,0000,1.3283000,1.3582000,1.2883000,1.3232000,115737
05/01/09,0000,1.3233000,1.4170000,1.3208000,1.4153000,22702
06/01/09,0000,1.4150000,1.4340000,1.3745000,1.4027000,0
07/01/09,0000,1.4028000,1.4304000,1.3830000,1.4253000,0
08/01/09,0000,1.4254000,1.4449000,1.4040000,1.4335000,0
09/01/09,0000,1.4333000,1.4844000,1.4175000,1.4632000,199628
10/01/09,0000,1.4632000,1.5063000,1.4479000,1.4731000,0
11/01/09,0000,1.4715000,1.5145000,1.4624000,1.5013000,98
12/01/09,0000,1.5015000,1.5141000,1.4215000,1.4312000,150233
01/01/10,0000,1.4314000,1.4580000,1.3850000,1.3855000,0
02/01/10,0000,1.3854000,1.4026000,1.3440000,1.3651000,0
03/01/10,0000,1.3650000,1.3818000,1.3265000,1.3506000,0
04/01/10,0000,1.3505000,1.3692000,1.3112000,1.3314000,0
05/01/10,0000,1.3315000,1.3316000,1.2141000,1.2299000,0
06/01/10,0000,1.2301000,1.2489000,1.1874000,1.2227000,0
07/01/10,0000,1.2229000,1.3107000,1.2191000,1.3050000,387279
08/01/10,0000,1.3048000,1.3334000,1.2584000,1.2671000,0
09/01/10,0000,1.2670000,1.3683000,1.2641000,1.3632000,0
10/01/10,0000,1.3633000,1.4159000,1.3615000,1.3960000,0
11/01/10,0000,1.3961000,1.4282000,1.2966000,1.2979000,0
12/01/10,0000,1.2980000,1.3498000,1.2968000,1.3369000,72997
01/01/11,0000,1.3371000,1.3758000,1.2858000,1.3690000,0
02/01/11,0000,1.3689000,1.3862000,1.3334000,1.3800000,0
03/01/11,0000,1.3799000,1.4250000,1.3741000,1.4173000,0
04/01/11,0000,1.4172000,1.4882000,1.4058000,1.4809000,0
05/01/11,0000,1.4804000,1.4940000,1.3966000,1.4390000,167051
06/01/11,0000,1.4391000,1.4696000,1.4070000,1.4500000,0
07/01/11,0000,1.4500000,1.4578000,1.3835000,1.4380000,0
08/01/11,0000,1.4384000,1.4550000,1.4053000,1.4365000,210727
09/01/11,0000,1.4365000,1.4386000,1.3360000,1.3395000,0
10/01/11,0000,1.3395000,1.4248000,1.3143000,1.3833000,0
11/01/11,0000,1.3833000,1.3871000,1.3210000,1.3436000,0
12/01/11,0000,1.3435000,1.3548000,1.2855000,1.2949000,0
01/01/12,0000,1.2930000,1.3234000,1.2622000,1.3082000,0
02/01/12,0000,1.3083000,1.3486000,1.2970000,1.3339000,24298
03/01/12,0000,1.3339000,1.3385000,1.3001000,1.3338000,0
04/01/12,0000,1.3340000,1.3380000,1.2993000,1.3236000,0
05/01/12,0000,1.3237000,1.3284000,1.2334000,1.2364000,0
06/01/12,0000,1.2363000,1.2747000,1.2286000,1.2666000,0
07/01/12,0000,1.2661000,1.2680000,1.2040000,1.2303000,0
08/01/12,0000,1.2304000,1.2637000,1.2130000,1.2576000,131177
09/01/12,0000,1.2576000,1.3172000,1.2499000,1.2845000,0
10/01/12,0000,1.2846000,1.3140000,1.2800000,1.2961000,0
11/01/12,0000,1.2960000,1.3027000,1.2659000,1.2997000,0
12/01/12,0000,1.2999000,1.3308000,1.2876000,1.3195000,0
01/01/13,0000,1.3196000,1.3594000,1.2994000,1.3574000,0
02/01/13,0000,1.3573000,1.3711000,1.3015000,1.3061000,0
03/01/13,0000,1.3062000,1.3134000,1.2749000,1.2801000,0
04/01/13,0000,1.2804000,1.3201000,1.2746000,1.3168000,0
05/01/13,0000,1.3169000,1.3243000,1.2793000,1.2995000,0
06/01/13,0000,1.2995000,1.3417000,1.2952000,1.3005000,0
07/01/13,0000,1.3004000,1.3345000,1.2754000,1.3302000,0
08/01/13,0000,1.3302000,1.3452000,1.3172000,1.3218000,0
09/01/13,0000,1.3224000,1.3570000,1.3102000,1.3527000,0
10/01/13,0000,1.3526000,1.3832000,1.3470000,1.3576000,0
11/01/13,0000,1.3575000,1.3622000,1.3294000,1.3587000,0
12/01/13,0000,1.3585000,1.3893000,1.3522000,1.3744000,0
01/01/14,0000,1.3744000,1.3775000,1.3477000,1.3482000,0
02/01/14,0000,1.3482000,1.3824000,1.3475000,1.3822000,587546
03/01/14,0000,1.3823000,1.3967000,1.3703000,1.3776000,0
04/01/14,0000,1.3776000,1.3906000,1.3670000,1.3873000,0
05/01/14,0000,1.3872000,1.3993000,1.3584000,1.3629000,0
06/01/14,0000,1.3629000,1.3698000,1.3501000,1.3692000,0
07/01/14,0000,1.3692000,1.3701000,1.3364000,1.3389000,0
08/01/14,0000,1.3390000,1.3445000,1.3127000,1.3128000,0
09/01/14,0000,1.3128000,1.3160000,1.2568000,1.2629000,0
10/01/14,0000,1.2630000,1.2887000,1.2483000,1.2523000,720842
11/01/14,0000,1.2523100,1.3000000,1.2356800,1.2470700,25179230
12/01/14,0000,1.2471000,1.2569900,1.2095000,1.2100500,29026330
01/01/15,0000,1.2100300,1.2107500,1.1096600,1.1285900,32054561
02/01/15,0000,1.1318300,1.1533800,1.1173000,1.1191600,27613246
03/01/15,0000,1.1186000,1.1240500,1.0451500,1.0730600,35760520
04/01/15,0000,1.0730300,1.1266200,1.0519000,1.1223600,37046560
05/01/15,0000,1.1223000,1.1466700,1.0817000,1.0978300,28396492
06/01/15,0000,1.0976900,1.1436400,1.0885000,1.1135700,32154071
07/01/15,0000,1.1135700,1.1216000,1.0807000,1.0982700,35367233
08/01/15,0000,1.0982700,1.1714000,1.0846000,1.1208600,36678786
09/01/15,0000,1.1209500,1.1460300,1.1085000,1.1174800,36526167
10/01/15,0000,1.1174400,1.1495200,1.0895900,1.1011000,33778616
11/01/15,0000,1.1013000,1.1053000,1.0555000,1.0566200,33440138
12/01/15,0000,1.0566200,1.1060000,1.0520000,1.0865500,37454597
01/01/16,0000,1.0865500,1.0984600,1.0708000,1.0828000,40538488
02/01/16,0000,1.0833400,1.1376400,1.0812400,1.0878500,47273135
03/01/16,0000,1.0878900,1.1411900,1.0821000,1.1378100,41449334
04/01/16,0000,1.1377400,1.1464800,1.1213000,1.1448500,30739393
05/01/16,0000,1.1448500,1.1616300,1.1095900,1.1131100,28274202
06/01/16,0000,1.1131500,1.1428000,1.0910800,1.1106400,33383215
07/01/16,0000,1.1102200,1.1197600,1.0950000,1.1171000,29433454
08/01/16,0000,1.1174800,1.1366300,1.1044000,1.1156600,31275582
09/01/16,0000,1.1156600,1.1327000,1.1120000,1.1240000,38629358
10/01/16,0000,1.1239000,1.1244200,1.0848000,1.0980000,35514747
11/01/16,0000,1.0980400,1.1299600,1.0517000,1.0596800,43191723
12/01/16,0000,1.0597000,1.0873600,1.0350000,1.0516000,37681670
01/01/17,0000,1.0527000,1.0812300,1.0339400,1.0796100,42267848
02/01/17,0000,1.0795700,1.0828800,1.0492000,1.0594700,31906562
03/01/17,0000,1.0594900,1.0906100,1.0493000,1.0651500,35465964
04/01/17,0000,1.0651000,1.0950900,1.0568000,1.0910000,25410815
05/01/17,0000,1.0910100,1.1268300,1.0837000,1.1243100,33850036
06/01/17,0000,1.1243200,1.1445600,1.1116800,1.1425000,32704152
07/01/17,0000,1.1425300,1.1845700,1.1311000,1.1841000,33149383
08/01/17,0000,1.1840800,1.2070400,1.1661500,1.1908900,36124323
09/01/17,0000,1.1909300,1.2092400,1.1716000,1.1813000,33311305
10/01/17,0000,1.1813000,1.1880000,1.1572000,1.1645800,29955059
11/01/17,0000,1.1645400,1.1961200,1.1553000,1.1901900,29420758
12/01/17,0000,1.1902100,1.2025500,1.1716000,1.1994000,26116627
01/01/18,0000,1.1996600,1.2537800,1.1914000,1.2415100,39608893
02/01/18,0000,1.2415100,1.2555600,1.2186000,1.2199600,37580551
03/01/18,0000,1.2200000,1.2476500,1.2153000,1.2323000,34869509
04/01/18,0000,1.2321000,1.2413700,1.2053000,1.2077200,32292468
05/01/18,0000,1.2076800,1.2084200,1.1509000,1.1690100,39542122
06/01/18,0000,1.1690100,1.1851800,1.1507000,1.1683900,36900510
07/01/18,0000,1.1650800,1.1790800,1.1574000,1.1690000,35039721
08/01/18,0000,1.1689700,1.1733500,1.1300000,1.1599700,38483763
09/01/18,0000,1.1601800,1.1815300,1.1525000,1.1616200,32207002
10/01/18,0000,1.1615900,1.1624600,1.1300000,1.1311300,43719676
11/01/18,0000,1.1311000,1.1499700,1.1214000,1.1321400,41627253
12/01/18,0000,1.1320700,1.1485900,1.1268000,1.1456000,38077145
01/01/19,0000,1.1456000,1.1569800,1.1288000,1.1444900,35569688
02/01/19,0000,1.1444100,1.1488500,1.1233000,1.1373100,34984771
03/01/19,0000,1.1373100,1.1448200,1.1175000,1.1229200,31428822
04/01/19,0000,1.1226800,1.1323900,1.1109000,1.1215100,22946452
05/01/19,0000,1.1214200,1.1264900,1.1106000,1.1166300,22520907
06/01/19,0000,1.1169000,1.1412200,1.1152000,1.1360000,37169121
07/01/19,0000,1.1360000,1.1371100,1.1059000,1.1071300,35156916
08/01/19,0000,1.1071500,1.1249600,1.0961000,1.0989000,37982931
09/01/19,0000,1.0987500,1.1109600,1.0883900,1.0899300,37300999
10/01/19,0000,1.0899300,1.1183000,1.0878000,1.1156000,44643732
11/01/19,0000,1.1156000,1.1175500,1.0980000,1.1017300,30739648
12/01/19,0000,1.1013900,1.1239300,1.1001000,1.1211700,28415485
01/01/20,0000,1.1215400,1.1224500,1.0991000,1.1091700,30363890
